"original","sandp"
tpl_20191107_10q_0.xml,tpl_20191107_10q_1.xml
vvv_20200204_10q_1.xml,vvv_20200204_10q_0.xml
kmpr_20191104_10q_0.xml,kmpr_20191104_10q_1.xml
dtq_20200428_10q_1.xml,dtq_20200428_10q_0.xml
smar_20200608_10q_1.xml,smar_20200608_10q_1.xml
cnne_20191112_10q_0.xml,cnne_20191112_10q_1.xml
oge_20190808_10q_0.xml,oge_20190808_10q_1.xml
vac_20190806_10q_1.xml,vac_20190806_10q_1.xml
pins_20191101_10q_0.xml,pins_20191101_10q_0.xml
clnc_20191108_10q_0.xml,clnc_20191108_10q_1.xml
o_20191105_10q_0.xml,o_20191105_10q_0.xml
dbd_20191029_10q_0.xml,dbd_20191029_10q_1.xml
rvi_20200501_10q_1.xml,rvi_20200501_10q_0.xml
egp_20190726_10q_1.xml,egp_20190726_10q_1.xml
lnc_20191031_10q_0.xml,lnc_20191031_10q_0.xml
cvi_20200507_10q_0.xml,cvi_20200507_10q_0.xml
vmw_20191206_10q_0.xml,vmw_20191206_10q_1.xml
kss_20191206_10q_0.xml,kss_20191206_10q_1.xml
shw_20191022_10q_0.xml,shw_20191022_10q_0.xml
ehc_20190731_10q_1.xml,ehc_20190731_10q_0.xml
por_20200424_10q_1.xml,por_20200424_10q_0.xml
bah_20191101_10q_0.xml,bah_20191101_10q_0.xml
lm_20200205_10q_1.xml,lm_20200205_10q_1.xml
rubi_20200506_10q_0.xml,rubi_20200506_10q_0.xml
vsto_20191107_10q_1.xml,vsto_20191107_10q_0.xml
mtb_20191105_10q_0.xml,mtb_20191105_10q_0.xml
prmw_20200507_10q_0.xml,prmw_20200507_10q_1.xml
kra_20191025_10q_0.xml,kra_20191025_10q_1.xml
uti_20200508_10q_1.xml,uti_20200508_10q_0.xml
wpc_20191101_10q_0.xml,wpc_20191101_10q_0.xml
egp_20200504_10q_1.xml,egp_20200504_10q_1.xml
cvi_20190725_10q_0.xml,cvi_20190725_10q_0.xml
pnr_20200430_10q_0.xml,pnr_20200430_10q_1.xml
cna_20190805_10q_0.xml,cna_20190805_10q_1.xml
shlx_20200507_10q_0.xml,shlx_20200507_10q_0.xml
unfi_20200610_10q_0.xml,unfi_20200610_10q_1.xml
gmed_20191106_10q_0.xml,gmed_20191106_10q_1.xml
acco_20191030_10q_0.xml,acco_20191030_10q_0.xml
gpk_20191022_10q_0.xml,gpk_20191022_10q_1.xml
rhi_20190506_10q_0.xml,rhi_20190506_10q_0.xml
ice_20191031_10q_0.xml,ice_20191031_10q_0.xml
pen_20200507_10q_1.xml,pen_20200507_10q_0.xml
msgs_20200207_10q_0.xml,msgs_20200207_10q_0.xml
alg_20191031_10q_0.xml,alg_20191031_10q_1.xml
crc_20190801_10q_0.xml,crc_20190801_10q_0.xml
cbz_20191101_10q_0.xml,cbz_20191101_10q_0.xml
enbl_20200506_10q_1.xml,enbl_20200506_10q_1.xml
rpm_20191003_10q_0.xml,rpm_20191003_10q_1.xml
trno_20191030_10q_0.xml,trno_20191030_10q_0.xml
smlp_20190809_10q_0.xml,smlp_20190809_10q_0.xml
cwh_20191112_10q_0.xml,cwh_20191112_10q_1.xml
hp_20190726_10q_1.xml,hp_20190726_10q_0.xml
coty_20200511_10q_0.xml,coty_20200511_10q_0.xml
nem_20190725_10q_1.xml,nem_20190725_10q_1.xml
ldl_20190730_10q_0.xml,ldl_20190730_10q_1.xml
sojb_20191030_10q_0.xml,sojb_20191030_10q_0.xml
asix_20181102_10q_1.xml,asix_20181102_10q_1.xml
aan_20200507_10q_0.xml,aan_20200507_10q_1.xml
bkd_20191105_10q_0.xml,bkd_20191105_10q_0.xml
gpja_20190731_10q_0.xml,gpja_20190731_10q_1.xml
ths_20190801_10q_0.xml,ths_20190801_10q_0.xml
tdy_20190729_10q_1.xml,tdy_20190729_10q_1.xml
kkr_20191105_10q_0.xml,kkr_20191105_10q_0.xml
hy_20200521_10q_0.xml,hy_20200521_10q_1.xml
dlx_20200508_10q_0.xml,dlx_20200508_10q_0.xml
rli_20200428_10q_0.xml,rli_20200428_10q_1.xml
txt_20200501_10q_0.xml,txt_20200501_10q_1.xml
dpz_20190424_10q_0.xml,dpz_20190424_10q_0.xml
trtn_20200424_10q_0.xml,trtn_20200424_10q_0.xml
hmn_20200508_10q_0.xml,hmn_20200508_10q_0.xml
a_20190830_10q_1.xml,a_20190830_10q_0.xml
eno_20190806_10q_0.xml,eno_20190806_10q_0.xml
wbs_20190507_10q_0.xml,wbs_20190507_10q_0.xml
dov_20191017_10q_0.xml,dov_20191017_10q_1.xml
talo_20200507_10q_0.xml,talo_20200507_10q_0.xml
vmc_20191107_10q_0.xml,vmc_20191107_10q_0.xml
post_20200508_10q_0.xml,post_20200508_10q_0.xml
pri_20191107_10q_0.xml,pri_20191107_10q_0.xml
dks_20200603_10q_0.xml,dks_20200603_10q_1.xml
nvt_20200429_10q_0.xml,nvt_20200429_10q_0.xml
atkr_20200505_10q_0.xml,atkr_20200505_10q_1.xml
uve_20191104_10q_0.xml,uve_20191104_10q_0.xml
nwhm_20191031_10q_0.xml,nwhm_20191031_10q_0.xml
plow_20191105_10q_0.xml,plow_20191105_10q_1.xml
kbr_20181030_10q_1.xml,kbr_20181030_10q_0.xml
cci_20200501_10q_1.xml,cci_20200501_10q_0.xml
uza_20190801_10q_1.xml,uza_20190801_10q_1.xml
eae_20191105_10q_0.xml,eae_20191105_10q_0.xml
now_20181107_10q_1.xml,now_20181107_10q_1.xml
nrg_20191107_10q_0.xml,nrg_20191107_10q_0.xml
tco_20200505_10q_1.xml,tco_20200505_10q_0.xml
dkl_20200508_10q_1.xml,dkl_20200508_10q_1.xml
psx_20191025_10q_0.xml,psx_20191025_10q_0.xml
olp_20200508_10q_1.xml,olp_20200508_10q_1.xml
osk_20200129_10q_1.xml,osk_20200129_10q_0.xml
wbt_20190807_10q_0.xml,wbt_20190807_10q_0.xml
gts_20190809_10q_1.xml,gts_20190809_10q_0.xml
fss_20200429_10q_0.xml,fss_20200429_10q_0.xml
brx_20200507_10q_1.xml,brx_20200507_10q_1.xml
rop_20200506_10q_1.xml,rop_20200506_10q_1.xml
hfc_20191031_10q_0.xml,hfc_20191031_10q_0.xml
